holding_company,unit_count_res,unit_count_bus
"3 Rivers Telephone Cooperative, Inc.",4716,4716
"3 Rivers Telephone Cooperative, Inc.",21031,21031
Ace Telephone Association,12481,12481
Ace Telephone Association,36694,36741
Ace Telephone Association,289,289
Ace Telephone Association,57,57
"Adak Eagle Enterprises, LLC",203,26
Adams Telephone Co-Operative,39184,39184
Agate Mutual Telephone Cooperative Association,83,83
Agate Mutual Telephone Cooperative Association,108,108
"Agri-Valley Communications, Inc.",5483,1227
"Agri-Valley Communications, Inc.",8486,2811
"Agri-Valley Communications, Inc.",48686,48686
"Air Advantage, LLC",3076,3076
"Air Advantage, LLC",9897,9401
"Air Advantage, LLC",39252,38889
Alaska Power & Telephone Company,3480,708
Alaska Power & Telephone Company,4881,970
Alaska Power & Telephone Company,99,49
"Covington Electric Cooperative, Inc.",26636,26636
Albany Mutual Telephone Association,6437,6437
"Albion Telephone Company, Inc.",1483,1483
"Albion Telephone Company, Inc.",5596,5596
"Albion Telephone Company, Inc.",704,704
"Alenco Communications, Inc.",28,28
"Alenco Communications, Inc.",18033,18033
"Alenco Communications, Inc.",18494,18494
"Alenco Communications, Inc.",3679,3679
"Alenco Communications, Inc.",2413,2413
Algona Municipal Utilities,2059,213
Algona Municipal Utilities,830,465
"Alhambra-Grantfork Communications, Inc.",368,368
"Alhambra-Grantfork Communications, Inc.",3317,3317
"All West Communications, Inc.",8304,8304
"All West Communications, Inc.",25916,25916
"All West Communications, Inc.",39298,39298
"All West Communications, Inc.",86,86
"Allen's TV Cable Service, Inc.",24282,24282
"Allen's TV Cable Service, Inc.",7534,7534
"Alliance Communications Cooperative, Inc.",26282,26282
Alma Communications Company,397,397
Alma Communications Company,362,362
"Alma Telecom, Inc.",12814,12814
"Alma Telecom, Inc.",11418,11418
"Alpine Communications, LLC",437,437
"Alpine Communications, LLC",11155,11155
"Alpine Communications, LLC",7937,7937
"Alpine Communications, LLC",1043,1043
Alta Municipal Utilities,860,148
Alta Municipal Utilities,1,4
"Amery Telcom, Inc.",4261,4261
"Amery Telcom, Inc.",18455,18455
Amherst Telephone Company,1135,1135
Amherst Telephone Company,18065,18065
"Amplex Electric, Inc.",82,82
"Amplex Electric, Inc.",13297,13297
"Amplex Electric, Inc.",807,807
"Amplex Electric, Inc.",157937,157937
"Amplex Electric, Inc.",3427,3427
Arapahoe Telephone Company,2388,2388
Arapahoe Telephone Company,406,406
Arapahoe Telephone Company,1592,1592
Arapahoe Telephone Company,1731,1731
Arapahoe Telephone Company,38354,38354
Arapahoe Telephone Company,1758,1758
"Arctic Slope Telephone Association Cooperative, Inc.",291,112
"Arctic Slope Telephone Association Cooperative, Inc.",1932,700
West Kentucky Rural Telephone Cooperative Corp. Inc.,14905,14905
West Kentucky Rural Telephone Cooperative Corp. Inc.,62948,62948
"Arkansas Telephone Company, Inc.",4684,785
"Arkansas Telephone Company, Inc.",3954,751
"Spectracomm, Inc.",6133,6133
"Armstrong Holdings, Inc.",13788,13788
"Armstrong Holdings, Inc.",351739,351739
"Armstrong Holdings, Inc.",204074,206537
Arthur Mutual Telephone Company,2902,2902
"Arvig Enterprises, Inc.",71608,71608
"Arvig Enterprises, Inc.",33211,33211
"Arvig Enterprises, Inc.",68064,68064
"Arvig Enterprises, Inc.",10331,10331
"Arvig Enterprises, Inc.",18125,18125
"Arvig Enterprises, Inc.",55660,55660
AT&T Inc.,34981079,34981079
AT&T Inc.,22322295,22322295
AT&T Inc.,57703672,26324347
"Radiate Holdings, LP",43689,43689
"Radiate Holdings, LP",4616457,4616457
"Radiate Holdings, LP",860045,860045
"ATN International, Inc.",136105,27013
"ATN International, Inc.",35678,0
"ATN International, Inc.",17175,10219
"ATN International, Inc.",46641,14157
"ATN International, Inc.",640601,99840
"ATN International, Inc.",22261,6510
Atlantic Telephone Membership Corporation,32000,32000
Atlantic Telephone Membership Corporation,107623,107623
"Atlas Telephone Company, Inc.",21,1
"Atlas Telephone Company, Inc.",850,231
"Atwood Cable Systems, Inc.",841,841
"Atwood Cable Systems, Inc.",59,59
Ayersville Telephone Company,1057,88
Ayersville Telephone Company,1123,111
"Baca Valley Telephone Company, Inc.",885,885
"Baca Valley Telephone Company, Inc.",1235,1235
"Baca Valley Telephone Company, Inc.",3721,3721
"Baca Valley Telephone Company, Inc.",305,305
"Baldwin Nashville Telephone Company, Inc.",480,480
"Baldwin Telecom, Inc.",14854,15160
"Ballard Rural Telephone Cooperative Corporation, Inc.",7308,7308
Baraga Telephone Company Inc.,7660,7660
Baraga Telephone Company Inc.,27349,27349
Barnes City Cooperative Telephone Company,233,233
Barry County Services Company,4070,0
Barry County Services Company,5126,603
Barry County Services Company,1,0
Barry County Services Company,16278,16278
Bascom Mutual Telephone Company,5398,5398
Bascom Mutual Telephone Company,1340,1340
Bascom Mutual Telephone Company,35012,35012
"Beamspeed, LLC",2470,2470
"Beamspeed, LLC",5057,5057
"Beamspeed, LLC",151718,151718
Beaver Creek Cooperative Telephone Company,8919,8919
Beaver Creek Cooperative Telephone Company,8905,8905
Beaver Creek Cooperative Telephone Company,3346,3346
"Bee Creek Communications, Inc.",74619,74619
Beehive Telephone Companies,401,401
Beehive Telephone Companies,13,13
Beehive Telephone Companies,186367,186367
Beehive Telephone Companies,27417,27417
"Beggs Telephone Company, Inc.",1269,305
"Beggs Telephone Company, Inc.",744,216
BEK Communications Cooperative,22218,22218
"Ben Lomand Rural Telephone Coop., Inc.",3388,970
"Ben Lomand Rural Telephone Coop., Inc.",65305,12756
BW Telcom,2278,2278
Benton Cooperative Telephone Company,23,23
Benton Cooperative Telephone Company,1453,1453
Benton Cooperative Telephone Company,10964,10964
Benton Ridge Telephone Company,11305,11305
Benton Ridge Telephone Company,387661,387661
Benton Ridge Telephone Company,658547,658547
Benton Ridge Telephone Company,193057,193057
Beresford Municipal Telephone Company,1351,1351
Bergen Telephone Company,251,251
"Bernard Telephone Company, Inc.",1495,1495
"Bernard Telephone Company, Inc.",4250,4250
Biddeford Internet Corporation,0,1457
Biddeford Internet Corporation,1239,2749
"Nevill Holdings, Inc.",604,604
"Nevill Holdings, Inc.",8460,8460
"Nevill Holdings, Inc.",11920,11920
"Nevill Holdings, Inc.",1030,1030
"Nevill Holdings, Inc.",421,421
"Nevill Holdings, Inc.",28003,28003
"Nevill Holdings, Inc.",1991,1991
"Big River Telephone, LLC",20060,2670
"Big River Telephone, LLC",110446,20158
Bijou Telephone Cooperative Association Inc.,38,38
Bijou Telephone Cooperative Association Inc.,2038,2038
Bijou Telephone Cooperative Association Inc.,1479,1479
Bixby Telephone Company,8954,886
Bixby Telephone Company,17078,6830
"Blackfoot Telephone Cooperative, Inc.",35042,35042
"Blackfoot Telephone Cooperative, Inc.",34475,34475
"Blackfoot Telephone Cooperative, Inc.",1303,1303
"Blackfoot Telephone Cooperative, Inc.",227,227
Blanca Telephone Company/Jade Communications LLC,11345,11345
Blanca Telephone Company/Jade Communications LLC,5033,5033
Blanca Telephone Company/Jade Communications LLC,8368,8368
